epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,4798.06,0.43256,0.30743,1.02111,0.8893,0.87155,0.91544,0.85153,0.34293,0.44466,0.95617,0.00294239,0.00294239,0.00294239
66,4871.82,0.43382,0.30803,1.01676,0.89442,0.85855,0.91253,0.846,0.35452,0.45318,0.97504,0.00280275,0.00280275,0.00280275
67,4945.6,0.42767,0.30461,1.01482,0.88099,0.87664,0.91518,0.85282,0.34473,0.45154,0.96935,0.00266532,0.00266532,0.00266532
68,5019,0.41801,0.29464,1.01553,0.89192,0.86754,0.92011,0.85482,0.35368,0.44119,0.98826,0.00253024,0.00253024,0.00253024
69,5092.7,0.42676,0.30005,1.01478,0.88905,0.87212,0.92006,0.8535,0.35313,0.44166,0.97974,0.00239766,0.00239766,0.00239766
70,5166.38,0.41924,0.2967,1.01777,0.88413,0.87704,0.91982,0.85661,0.34703,0.44599,0.97837,0.00226769,0.00226769,0.00226769
71,5240.08,0.41076,0.29083,1.00924,0.87334,0.88008,0.91704,0.85275,0.34323,0.45222,0.97713,0.00214046,0.00214046,0.00214046
72,5313.54,0.41022,0.28663,1.01054,0.87512,0.87733,0.9169,0.85425,0.33801,0.46046,0.97159,0.00201611,0.00201611,0.00201611
73,5387.19,0.40527,0.28418,1.00657,0.89749,0.85729,0.91698,0.85575,0.33738,0.46095,0.96398,0.00189475,0.00189475,0.00189475
74,5461.1,0.4011,0.2766,1.00116,0.87935,0.87683,0.92008,0.85721,0.34524,0.44837,0.97609,0.00177651,0.00177651,0.00177651
75,5534.81,0.40474,0.28308,1.00705,0.8803,0.87634,0.91857,0.85625,0.3505,0.45762,0.97396,0.00166149,0.00166149,0.00166149
76,5608.62,0.39669,0.27446,0.99869,0.87947,0.87149,0.91875,0.85749,0.34401,0.45273,0.96929,0.00154982,0.00154982,0.00154982
77,5681.99,0.39904,0.27339,0.99556,0.87779,0.87622,0.91681,0.8553,0.34239,0.44793,0.9654,0.00144161,0.00144161,0.00144161
78,5756.04,0.3926,0.27182,0.99593,0.88146,0.87122,0.91765,0.85768,0.33782,0.45235,0.96024,0.00133695,0.00133695,0.00133695
79,5829.77,0.39138,0.26548,0.99471,0.8874,0.86589,0.91426,0.85449,0.34225,0.45906,0.96804,0.00123596,0.00123596,0.00123596
